Product Name,Brand Name,Price (Ksh),Discount (%),Total Reviews,Original Rating,Adjusted Rating,Popularity
"Infinix HOT 40i,5000mah,(4GB RAM+4GB RAM)128GB ROM,50MP,TYPE-C,+BUDS WATCH",product,"KSh 13,599",product,0,0,1.25,Low
Qwen Bluetooth Earbuds Wireless Earphone Gaming Headsets Sports Headphones,product,KSh 520,product,0,0,1.25,Low
Smartwatch Business Bluetooth Waterproof Sport,product,KSh 587,product,0,0,1.25,Low
ColorScreen  SmartWatch Heart Rate Sport Bracelet,product,KSh 555,product,0,0,1.25,Low
AILYONS ECS2403 2.1CH SubWoofer Home Theatrer Multi Media Speaker System (1YR WRTY),product,"KSh 2,519",product,0,0,1.25,Low
ColorScreen  SmartWatch Heart Rate Sport Bracelet,product,KSh 537,product,0,0,1.25,Low
"Refurbished Huawei Y7 Pro 4G LTE Mobile Phone 4GB + 128GB Dual Camera 6.26"" 4000mah",product,"KSh 9,399",product,0,0,1.25,Low
Color Screen Smart Watch Heart Rate Sport Bracelet,product,KSh 545,product,0,0,1.25,Low
Vitron VB-Y44 - 2in1 Blender - 1.5L - 350W - White & Yellow,product,"KSh 1,740",product,0,0,1.25,Low
Fashion Men's Trendy Sneakers - White,product,"KSh 1,490",product,0,0,1.25,Low
"AILYONS GS014-1, 2 Burner Glass Top & Infrared Double Burner",product,"KSh 2,699",product,0,0,1.25,Low
Fashion 4pcs Ladies Handbags Women Shoulder Tote Bags Set PU Leather-Black,product,KSh 890,product,0,0,1.25,Low
Fashion 4 In 1 Ladies Handbags Women Shoulder Bags Set PU Leather -Pink,product,KSh 890,product,0,0,1.25,Low
Istanbul 2 Modern TV Stand With LED Lights,product,"KSh 7,999",product,0,0,1.25,Low
Fashion Men Shoes Sneakers Skateboarding Shoes Sport Shoes Running Sneakers Casual Shoes,product,"KSh 1,099",product,0,0,1.25,Low
Stereo F9 Bluetooth Earphone  Power Headset,product,KSh 550,product,0,0,1.25,Low
"Vitron HTC3200S 32"" Smart Frameless Android LED TV (1YR WRTY)",product,"KSh 11,790",product,0,0,1.25,Low
Samsung Galaxy A51 5G 128GB HDD- 6GB RAM - Prism Cube Black,product,"KSh 21,000",product,0,0,1.25,Low
"Tecno Spark 20, 6.6'' HD+, UP to 8GB RAM + 128GB ROM (Dual Sim) 50MP, 5000 mAh - Cyber White",product,"KSh 14,700",product,0,0,1.25,Low
"Samsung Refurbished Samsung A20 3GB RAM + 32 GB ,  13MP +8MP Camera , Type C Charging 6.4"" Android 9.0",product,"KSh 8,900",product,0,0,1.25,Low
"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W",product,"KSh 5,475",product,0,0,1.25,Low
"Vitron HTC3200S,Frameless 32 Inch Smart Android  TV Appstore +FREE Wall Bracket/Mount",product,"KSh 13,795",product,0,0,1.25,Low
Fashion 2024 New Men's Outdoor Casual Trendy Sports Shoes - White,product,"KSh 1,499",product,0,0,1.25,Low
Fashion Men Leather Loafers & Slip-Ons,product,KSh 888,product,0,0,1.25,Low
